bank_quarter_id,ticker,report_year,report_quarter,quarter_label,period_end,period_end_date,asof_trade_date,exchange,trading_history_years,years_listed,listing_date_after_period_flag,total_assets_bn_vnd,customer_loans_bn_vnd,customer_deposits_bn_vnd,equity_bn_vnd,daily_return_asof,ret_3m,ret_6m,vol_20d,avg_volume_20d,price_momentum_score,liquidity_score,risk_score_basic,roe_pct,net_income_reported_bn_vnd,operating_profit_before_provision_bn_vnd,provision_expense_abs_bn_vnd,nim_proxy,loan_growth_yoy,deposit_growth_yoy,debt_to_equity,current_ratio_proxy,npl_ratio,llr,casa_ratio,market_cap_bn_vnd,log_market_cap,book_equity_bn_vnd,pb_ratio,daily_return_asof_missing,ret_3m_missing,ret_6m_missing,vol_20d_missing,avg_volume_20d_missing,net_income_reported_missing,nim_proxy_missing,loan_growth_yoy_missing,deposit_growth_yoy_missing,debt_to_equity_missing,current_ratio_proxy_missing,npl_ratio_missing,llr_missing,casa_ratio_missing,prev_year_annual_ocr_missing,market_cap_missing,book_equity_missing,pb_ratio_missing,log_market_cap_missing,years_listed_missing,trading_history_years_missing,segment_label
88,ACB,2016,1,2016Q1,201603,2016-03-31,2016-03-31,HOSE,0.50793650793650793651,,1,209867.855000000000,142519.799000000000,181063.369000000000,13103.383000000000,0.03202846975088967972,-0.04918032786885245902,-0.05844155844155844156,0.0171513711444341087958843406473267869384,115367.300000000000,0.5,0,1,2.4,310.2760000000000000,622.6970000000000000,233.4470000000000000,,,,15.0163108259905095,0.09086562130992834926,1.32109913256110467600,87.01773825276318368000,,14896.304137100000,9.6088684166754951,13103.383000000000,1.13682887366567855034,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Risky
378,EIB,2016,1,2016Q1,201603,2016-03-31,2016-03-31,HOSE,0.50793650793650793651,6.4257357973990418,0,122221.120000000000,81603.296000000000,101064.914000000000,13186.934000000000,0.01943198804185351271,-0.04615384615384615385,-0.12564102564102564103,0.0124347819079283038897437911647217679110,236031.500000000000,0.5,0.3333333333333333,0.3333333333333333,0.18,23.9680000000000000,367.6560000000000000,337.1900000000000000,,,,8.2683500197999019,0.11470711580311151220,1.85874925223978841300,55.21551636588907959000,,12703.754539740000,9.4496528618062369,13186.934000000000,0.96335922662083544211,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Safe
588,MBB,2016,1,2016Q1,201603,2016-03-31,2016-03-31,HOSE,0.50793650793650793651,4.4134154688569473,0,228770.502000000000,122226.493000000000,,23998.130000000000,-0.00732600732600732601,0.02264150943396226415,-0.04577464788732394366,0.0065803335338793543769682761546193160932,1054210.500000000000,1,1,0,2.99,705.1570000000000000,1121.7550000000000000,239.4260000000000000,,,,8.5328470176634596,0.19894540753769263365,1.62526810837350443400,101.3740296697671400,,21829.049753390000,9.9909969192053534,23998.130000000000,0.90961461386324684465,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Safe
1091,STB,2016,1,2016Q1,201603,2016-03-31,2016-03-31,HOSE,0.50793650793650793651,9.7193702943189596,0,306515.443000000000,188365.006000000000,274328.421000000000,22685.241000000000,0.00000000000000000000,-0.11965811965811965812,-0.23816568047337278107,0.0144484308905067477732098515994564166860,814750.500000000000,0,0.6666666666666666,0.6666666666666666,0.72,161.9480000000000000,248.6120000000000000,49.6110000000000000,,,,12.5116679165982852,0.09034308124827392400,2.35883982484023524800,,12.72658344136392477900,19417.721874800000,9.8739414267664368,22685.241000000000,0.85596277662644183502,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Risky
89,ACB,2016,2,2016Q2,201606,2016-06-30,2016-06-30,HOSE,0.75396825396825396825,,1,221825.953000000000,154538.408000000000,190502.670000000000,13389.158000000000,0.00000000000000000000,0.0711743772241993,-0.01311475409836065574,0.0045380997127580720556404805035253827001,87262.550000000000,0.5714285714285714,0.14285714285714285,0,2.66,352.7190000000000000,576.2400000000000000,137.0470000000000000,0.79087490641051770700,,,15.5675805005811418,0.08040847106673272346,1.32109913256110467600,87.01773825276318368000,,15461.336362990000,9.6460977584438511,13389.158000000000,1.15476539771881099618,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Safe
195,BID,2016,2,2016Q2,201606,2016-06-30,2016-06-30,HOSE,0.58333333333333333333,2.4312114989733060,0,930267.623000000000,647673.991000000000,692338.550000000000,44422.583000000000,-0.00566251415628539071,0.03537735849056603774,-0.14674441205053449951,0.0101149309236753886748964868066830618608,1184977.500000000000,0.21428571428571427,1,0.2857142857142857,2.21,975.1750000000000000,3769.6120000000000000,2535.6500000000000000,,,,19.9413221874108491,0.12487965050862620397,1.67999679497074429100,74.76910942063005784900,18.45738885885561486900,63918.972543800000,11.065371506215222,44422.583000000000,1.4388846444116048,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Safe
311,CTG,2016,2,2016Q2,201606,2016-06-30,2016-06-30,HOSE,0.52380952380952380952,6.9568788501026694,0,850209.814000000000,586830.459000000000,576364.532000000000,59511.403000000000,-0.00557103064066852368,0.00705218617771509168,-0.07152145643693107932,0.0127617224893259973212182028222073671550,585718.500000000000,0.21428571428571427,0.42857142857142855,0.5714285714285714,2.53,1488.3430000000000000,3435.9730000000000000,1567.9920000000000000,,,,13.2865026052234057,0.13815126283338389054,0.91849568291473717400,92.05767020622227977600,,55455.984708180000,10.923344916768396,59511.403000000000,0.93185476921422941415,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Growth
379,EIB,2016,2,2016Q2,201606,2016-06-30,2016-06-30,HOSE,0.75396825396825396825,6.6748802190280630,0,121682.554000000000,79763.074000000000,100728.003000000000,13225.012000000000,0.00809716599190283401,0.1165919282511211,0.03606102635228848821,0.0131156290912608328715677190676959196448,96430.000000000000,0.7857142857142857,0.2857142857142857,0.7142857142857143,0.28,36.7290000000000000,372.9460000000000000,324.1690000000000000,0.60986535200777664400,,,8.2009409140800780,0.11300689443985370791,1.85874925223978841300,55.21551636588907959000,,13914.522934290000,9.5406883890955921,13225.012000000000,1.05213688534195658953,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Risky
589,MBB,2016,2,2016Q2,201606,2016-06-30,2016-06-30,HOSE,0.75396825396825396825,4.6625598904859685,0,239121.501000000000,139478.313000000000,190490.807000000000,24621.537000000000,-0.00704225352112676056,0.03296703296703296703,0.06415094339622641509,0.0052981078319244608620748216390561686363,725342.500000000000,0.5714285714285714,0.7142857142857143,0.14285714285714285,3.29,799.2620000000000000,1322.6210000000000000,342.7400000000000000,0.79386054392556053200,,,8.7118835838721198,0.16183620431749816051,1.62526810837350443400,101.3740296697671400,,22715.099743380000,10.030785169263766,24621.537000000000,0.92257033926760949164,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Safe
745,NVB,2016,2,2016Q2,201606,2016-06-30,2016-06-29,HNX,0.70634920634920634921,5.7960301163586585,0,59057.954000000000,21373.717000000000,38901.046000000000,3226.8850000000000000,0.00000000000000000000,-0.06666666666666666667,-0.13846153846153846154,0.0338503611524025344599921452413658529055,27425.000000000000,0.07142857142857142,0,1,0.02,0.80300000000000000000,56.3920000000000000,55.3640000000000000,,,,17.3018465176168348,0.18150650133530489986,1.63561494503275909200,47.67817410807137756000,1.01061680567692427300,8622.3547244800000000,9.0621134962469084,3226.8850000000000000,2.6720365691619007,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Risky
1092,STB,2016,2,2016Q2,201606,2016-06-30,2016-06-30,HOSE,0.75396825396825396825,9.9685147159479808,0,312374.503000000000,196427.841000000000,279991.063000000000,22734.105000000000,-0.00877192982456140351,0.0970873786407767,-0.02586206896551724138,0.0217451845713981245499446868968748164807,1119241.000000000000,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.65,146.9790000000000000,845.7000000000000000,681.4820000000000000,0.48909212689003676300,,,12.7403475087319250,0.06934710813372104260,2.35883982484023524800,,12.72658344136392477900,21302.937590800000,9.9666002572491416,22734.105000000000,0.93704755875808614414,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Risky
1309,VCB,2016,2,2016Q2,201606,2016-06-30,2016-06-30,HOSE,0.58333333333333333333,7.0006844626967830,0,678274.082000000000,417630.311000000000,534944.549000000000,48673.032000000000,0.00000000000000000000,0.1233201581027668,0.1206624605678233,0.0112985092802150742224033721547760204748,647254.000000000000,1,0.5714285714285714,0.42857142857142855,3.29,1576.1870000000000000,3671.4730000000000000,1699.4800000000000000,,,,12.9353160082568926,0.21051395800562912022,1.84353134088233278200,120.6327691721602500,28.06863673096009181000,118734.143085740000,11.684642181071151,48673.032000000000,2.4394236029047872,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Safe
90,ACB,2016,3,2016Q3,201609,2016-09-30,2016-09-30,HOSE,1.0119047619047619,,1,228866.885000000000,158001.647000000000,201386.210000000000,13725.220000000000,0.00000000000000000000,-0.01023890784982935154,0.00000000000000000000,0.0145281128891139389326050138830725052058,159035.150000000000,0.5,0.25,0.25,2.46,333.8220000000000000,607.9830000000000000,192.1530000000000000,0.73530212166362404000,,,15.6749155933383946,0.08175377372858018924,1.32109913256110467600,87.01773825276318368000,,14896.304137100000,9.6088684166754951,13725.220000000000,1.08532352392894248690,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Growth
