feature
credit_funding_growth_gap
customer_deposits_million_vnd
customer_deposits_million_vnd__qoq_change
customer_deposits_million_vnd__qoq_pct
customer_deposits_million_vnd__yoy_change
customer_deposits_million_vnd__yoy_pct
customer_loans_million_vnd
customer_loans_million_vnd__qoq_change
customer_loans_million_vnd__qoq_pct
customer_loans_million_vnd__yoy_change
customer_loans_million_vnd__yoy_pct
deposit_growth_yoy
deposits_to_assets
deposits_to_assets__qoq_change
deposits_to_assets__yoy_change
equity_million_vnd
equity_million_vnd__qoq_change
equity_million_vnd__qoq_pct
equity_million_vnd__yoy_change
equity_million_vnd__yoy_pct
equity_to_assets
equity_to_assets__qoq_change
equity_to_assets__yoy_change
loan_growth_yoy
loan_to_assets
loan_to_assets__qoq_change
loan_to_assets__yoy_change
loan_to_deposit
loan_to_deposit__qoq_change
loan_to_deposit__yoy_change
net_income_million_vnd
net_income_million_vnd__qoq_pct
net_income_million_vnd__qoq_change
net_income_million_vnd__yoy_change
net_income_million_vnd__yoy_pct
net_income_to_equity
net_income_to_equity__qoq_change
net_income_to_equity__yoy_change
net_interest_income_million_vnd
net_interest_income_million_vnd__qoq_change
net_interest_income_million_vnd__qoq_pct
net_interest_income_million_vnd__yoy_change
net_interest_income_million_vnd__yoy_pct
net_interest_to_assets
net_interest_to_assets__qoq_change
net_interest_to_assets__yoy_change
operating_profit_before_provision_million_vnd
operating_profit_before_provision_million_vnd__qoq_change
operating_profit_before_provision_million_vnd__qoq_pct
operating_profit_before_provision_million_vnd__yoy_change
operating_profit_before_provision_million_vnd__yoy_pct
provision_expense_million_vnd
provision_expense_million_vnd__qoq_change
provision_expense_million_vnd__qoq_pct
provision_expense_million_vnd__yoy_change
provision_expense_million_vnd__yoy_pct
provision_to_preprovision_profit
provision_to_preprovision_profit__qoq_change
provision_to_preprovision_profit__yoy_change
roe_pct
roe_pct__qoq_change
roe_pct__yoy_change
total_assets_million_vnd
total_assets_million_vnd__qoq_change
total_assets_million_vnd__qoq_pct
total_assets_million_vnd__yoy_change
total_assets_million_vnd__yoy_pct
traj__net_income__yoy_pct__lag1
traj__net_income__yoy_pct__lag2
traj__net_income__yoy_pct__delta1
traj__net_income__yoy_pct__acceleration
traj__net_income__yoy_pct__slope3
traj__net_income__yoy_pct__slope4
traj__net_income__yoy_pct__mean4
traj__net_income__yoy_pct__std4
traj__net_income__yoy_pct__range4
traj__net_interest_income__yoy_pct__lag1
traj__net_interest_income__yoy_pct__lag2
traj__net_interest_income__yoy_pct__delta1
traj__net_interest_income__yoy_pct__acceleration
traj__net_interest_income__yoy_pct__slope3
traj__net_interest_income__yoy_pct__slope4
traj__net_interest_income__yoy_pct__mean4
traj__net_interest_income__yoy_pct__std4
traj__net_interest_income__yoy_pct__range4
traj__operating_profit_before_provision__yoy_pct__std4
traj__operating_profit_before_provision__yoy_pct__slope4
